mode_name,model_variant,dataset_variant,group,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
balanced,Model A,test,TrustAIRLab/in-the-wild-jailbreak-prompts-regular,2635,0.9704,0.0,0.0,0.0,81.764,0.0481,0,0.0,2635,0,78,0,2557
balanced,Model A,test,aurora-m/redteam,1244,1.0,1.0,1.0,1.0,59.874,0.9997,0,0.0,1244,1244,0,0,0
balanced,Model A,test,allenai/wildjailbreak-train,435,0.9471,0.9698,0.9723,0.9711,56.444,0.9075,0,0.0,435,386,12,11,26
balanced,Model A,test,TrustAIRLab/in-the-wild-jailbreak-prompts-jailbreak,247,0.6721,1.0,0.6721,0.8039,107.542,0.5626,0,0.0,247,166,0,81,0
balanced,Model A,test,deepset/prompt-injections,106,0.8868,0.9032,0.7568,0.8235,37.16,0.3036,0,0.0,106,28,3,9,66
balanced,Model A,test,walledai/AdvBench,97,1.0,1.0,1.0,1.0,35.114,0.9933,0,0.0,97,97,0,0,0
balanced,Model A,mutated_data,TrustAIRLab/in-the-wild-jailbreak-prompts-regular,4299,0.592,0.0,0.0,0.0,38.626,0.4042,0,0.0,4299,0,1754,0,2545
balanced,Model A,mutated_data,aurora-m/redteam,2664,0.8731,1.0,0.8731,0.9323,37.68,0.8507,0,0.0,2664,2326,0,338,0
balanced,Model A,mutated_data,allenai/wildjailbreak-train,1077,0.9164,0.96,0.9505,0.9553,41.768,0.9149,0,0.0,1077,961,40,50,26
balanced,Model A,mutated_data,deepset/prompt-injections,315,0.381,0.343,0.8796,0.4935,34.649,0.861,0,0.0,315,95,182,13,25
balanced,Model A,mutated_data,walledai/AdvBench,291,0.9588,1.0,0.9588,0.9789,35.032,0.9398,0,0.0,291,279,0,12,0
balanced,Model A,mutated_data,TrustAIRLab/in-the-wild-jailbreak-prompts-jailbreak,234,0.7607,1.0,0.7607,0.8641,43.041,0.7123,0,0.0,234,178,0,56,0
balanced,Model A,mutated_data,JBB-behaviors-benign,84,0.0595,0.0,0.0,0.0,35.174,0.9031,0,0.0,84,0,79,0,5
