experiment_name,model_variant,dataset_variant,threshold,num_examples,accuracy,precision,recall,f1,avg_latency_ms,avg_confidence,cache_hits,cache_hit_rate,model_calls,tp,fp,fn,tn
test1_model_a_on_test,Model A,test,0.00,4808,0.4239,0.4239,1.0,0.5954,72.8,0.429,0,0.0,4808,2038,2770,0,0
test1_model_a_on_test,Model A,test,0.01,4808,0.7344,0.6153,0.9966,0.7608,72.8,0.429,0,0.0,4808,2031,1270,7,1500
test1_model_a_on_test,Model A,test,0.02,4808,0.8199,0.7046,0.9902,0.8233,72.8,0.429,0,0.0,4808,2018,846,20,1924
test1_model_a_on_test,Model A,test,0.03,4808,0.8621,0.7601,0.9858,0.8584,72.8,0.429,0,0.0,4808,2009,634,29,2136
test1_model_a_on_test,Model A,test,0.04,4808,0.8814,0.7885,0.9843,0.8756,72.8,0.429,0,0.0,4808,2006,538,32,2232
test1_model_a_on_test,Model A,test,0.05,4808,0.8925,0.806,0.9828,0.8857,72.8,0.429,0,0.0,4808,2003,482,35,2288
test1_model_a_on_test,Model A,test,0.06,4808,0.9054,0.8277,0.9809,0.8978,72.8,0.429,0,0.0,4808,1999,416,39,2354
test1_model_a_on_test,Model A,test,0.07,4808,0.9122,0.8412,0.9774,0.9042,72.8,0.429,0,0.0,4808,1992,376,46,2394
test1_model_a_on_test,Model A,test,0.08,4808,0.9199,0.8552,0.9764,0.9118,72.8,0.429,0,0.0,4808,1990,337,48,2433
test1_model_a_on_test,Model A,test,0.09,4808,0.9295,0.8734,0.975,0.9214,72.8,0.429,0,0.0,4808,1987,288,51,2482
test1_model_a_on_test,Model A,test,0.10,4808,0.9353,0.8853,0.9735,0.9273,72.8,0.429,0,0.0,4808,1984,257,54,2513
test1_model_a_on_test,Model A,test,0.11,4808,0.9386,0.892,0.973,0.9308,72.8,0.429,0,0.0,4808,1983,240,55,2530
test1_model_a_on_test,Model A,test,0.12,4808,0.9401,0.8963,0.9711,0.9322,72.8,0.429,0,0.0,4808,1979,229,59,2541
test1_model_a_on_test,Model A,test,0.13,4808,0.9416,0.8999,0.9701,0.9336,72.8,0.429,0,0.0,4808,1977,220,61,2550
test1_model_a_on_test,Model A,test,0.14,4808,0.9441,0.9052,0.9696,0.9363,72.8,0.429,0,0.0,4808,1976,207,62,2563
test1_model_a_on_test,Model A,test,0.15,4808,0.9451,0.9076,0.9691,0.9374,72.8,0.429,0,0.0,4808,1975,201,63,2569
test1_model_a_on_test,Model A,test,0.16,4808,0.9457,0.91,0.9676,0.9379,72.8,0.429,0,0.0,4808,1972,195,66,2575
test1_model_a_on_test,Model A,test,0.17,4808,0.9465,0.9125,0.9666,0.9388,72.8,0.429,0,0.0,4808,1970,189,68,2581
test1_model_a_on_test,Model A,test,0.18,4808,0.9472,0.9137,0.9666,0.9394,72.8,0.429,0,0.0,4808,1970,186,68,2584
test1_model_a_on_test,Model A,test,0.19,4808,0.9478,0.915,0.9666,0.9401,72.8,0.429,0,0.0,4808,1970,183,68,2587
test1_model_a_on_test,Model A,test,0.20,4808,0.9482,0.9162,0.9661,0.9405,72.8,0.429,0,0.0,4808,1969,180,69,2590
test1_model_a_on_test,Model A,test,0.21,4808,0.9488,0.9179,0.9657,0.9412,72.8,0.429,0,0.0,4808,1968,176,70,2594
test1_model_a_on_test,Model A,test,0.22,4808,0.9497,0.92,0.9652,0.942,72.8,0.429,0,0.0,4808,1967,171,71,2599
test1_model_a_on_test,Model A,test,0.23,4808,0.9499,0.9212,0.9642,0.9422,72.8,0.429,0,0.0,4808,1965,168,73,2602
test1_model_a_on_test,Model A,test,0.24,4808,0.9501,0.9225,0.9632,0.9424,72.8,0.429,0,0.0,4808,1963,165,75,2605
test1_model_a_on_test,Model A,test,0.25,4808,0.9505,0.9237,0.9627,0.9428,72.8,0.429,0,0.0,4808,1962,162,76,2608
test1_model_a_on_test,Model A,test,0.26,4808,0.9507,0.9246,0.9622,0.943,72.8,0.429,0,0.0,4808,1961,160,77,2610
test1_model_a_on_test,Model A,test,0.27,4808,0.9509,0.9254,0.9617,0.9432,72.8,0.429,0,0.0,4808,1960,158,78,2612
